Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
avid hotels - Fort Worth Downtown,$109,2024-07-02,2024-07-03,8.8Scored 8.8 Excellent 106 reviews,N/A,Fort Worth,,N/A,N/A,0.7 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/avid-hotels-fort-worth-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=999473204_391997722_4_1_0&highlighted_blocks=999473204_391997722_4_1_0&matching_block_id=999473204_391997722_4_1_0&sr_pri_blocks=999473204_391997722_4_1_0__10900&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/455798417.webp?k=466b320562cf21386b63f30eef0279e89eb57b9cd6241ac4cfc7290efcde32ba&o=,N/A,N/A
Hampton Inn & Suites Fort Worth Downtown,$124,2024-07-02,2024-07-03,"9.0Scored 9.0 Wonderful 1,026 reviews",N/A,"Downtown Ft. Worth - Sundance Square, Fort Worth",,N/A,N/A,0.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/hampton-inn-suites-fort-worth-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=263443005_266270024_2_1_0&highlighted_blocks=263443005_266270024_2_1_0&matching_block_id=263443005_266270024_2_1_0&sr_pri_blocks=263443005_266270024_2_1_0__12400&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/484870783.webp?k=0d3f03b8e9bf78429ef03ad7312d6182e4f6516ffdd4e7b6aa15b3f25799a56e&o=,N/A,N/A
Doubletree By Hilton Fort Worth South,$104,2024-07-02,2024-07-03,8.2Scored 8.2 Very Good 701 reviews,N/A,Fort Worth,,N/A,N/A,7 miles from downtown,N/A,,https://www.booking.com/hotel/us/doubletree-by-hilton-fort-worth-south.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=7662937_370960246_4_2_0&highlighted_blocks=7662937_370960246_4_2_0&matching_block_id=7662937_370960246_4_2_0&sr_pri_blocks=7662937_370960246_4_2_0__10400&nad_id=f5734ab7-7078-4885-bfc3-bbd76b2f42b4_5&nad_cpc=0.94&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NKWk5CK2lLUFN2T0tLUFFGbzRxK1ViQ3dZMTl3YVJURmIxQkQzKzA3WG52Y09JV1RreUZDRmcxT2IwUlh3b1JQZzdqNVV5NVkwSWxrRStPTUZnS1dKeXRGOVlMaVE2bmlGZUl5SGNCWFduMTBNN0psN1N1TnZsQjZLNnJEN2dneFhpc0JqT0p6aHMwRTJiQWc2MmlJb3MxQVIrLzVwbWRQSTQxeHpNQVN4Wm40bEt1SzFRNGdmSmdHbHQzYW56aFQvUHBkdUxRandrcTlTVWprajc3ajIzdThVWDdrWkZ6MEF1Q0IwQkZTckVKcTdQSmVFa1RpVVNhOS9rVHFGSHNSODhDaS8rL3VFZW5xSXhIUUdmd3JvMUZMVFBHcUpDbzNmakRDcW52VUUyamUycG8wbzBUZThRR3ZvRjR5cWVuZjZ3Q3RhSGJ5UjN0ejBEYUJtdm9qWGZTSjNvNFFPTU55QytUeE9NckhtK0x0ZVNQZGdTNmNBVnUzd2dISzQxSUUwUzNZSjRKbldrckdnSWl1dkFkd1JaMW1PRkN2NXEzM1RtNlpKRklTM3UyYy9CU2IxTDJwYkJBK3luNFhtY3RmOVEwVVREdmZ5RGxhbU4xWURqNGhodzJpcWY1Z0Vjbjl5Ry9FMW5JRzViemNRKzRMYWtHb3YyN0hmMWNKQnVOemdhNzl2S2hhWGU2ZGp5cVZuUDk3VEtqeFZ1Z0hCTFhBUEdQRE4wVmx6RHNPS1l2OHdCM2YvVVVMbURvWU1UL2FHTVhzUFByd1hPbG1tazJTTXRtMGhPNXR3N253NjZiZ3F6aG8yc01STlpwRnVsVkhlMVVlb0RMa0FpaWJ3ME41LzliY3l1QWNsZTZ1WFJ4SHk5T01hdkUzNjQ4ZUdYbVdXYlBWby8xQk5Yb2d2NFdSTjR5ZEZEa2RBT2dqSDBRcVpzcytQUHlNcnZ0Njl4bTNvL2pmVUtWd08zRy9aWjdMWkFIOWdIaHh5QUJMaG1OQzMxTE85cWVJb0JsR0tFQkJ4S3BhaHFPZjdDVVhFN1hnMHVSS05xVy9kanhGSFVOemErWDdjb2dlaERsWExEQmtnbGRFWUpxYWlrUzRDOWdkZmJwUTNPbDJKNEpXRllTcWdwelZidmovNUd5T1A2Y0NzWjltY1dJWXdyRDdvTGRBMXBPdDBtQjg0RkxDNWJXV3NVdWFyVWROOW16VGxZSXVOSVErMXV3UTRGNkZ5L0NTTElNcnhicDNsd3Y2akhzZnBDZTgvTkxzZDRmUjJYVURYbGxKckZ0L2lSYitGd09oTWZDZFNFNmNDOU5tRVlYWlJZYm5XNHNTMW84TjZyK2RGaGhBTWJEbmsvMzI3ZFo4WnN0eExYcTROcGpYR2xqN0hBMndnT2JNSmZKOFhPTXh3aWJGZFFiTXN2SnF3QXd6SHR3dUJwT3dRQy95MUZsOU55L2tIOWFUNmh5Q3k4cGtwZWRTVDBIRnBSNDZIeUpFRkxHZk9IYzBYRExFcFR2L1lhVFlFYVY3RXU4U2ZDeTdNSVNXSGpjbFhWYUZ3bnlyZC84d0hJdzM0R1FEd2lLNGNzcUY4dnZnYTZUc2o3QWpRdTJIbFR6Q1I2d3NnUzA1bHBCNXRuYmdkcmtXaGFRMlVFcGg0WlJxWmFJQ2g3Zk0xTFBCS0dkVElHMGdkcUV3SDFoWDlScEhUSExPTDFaRGc4MU41VVg3NDdKdGhUcTV0cTdtWm0zb3JXZ2JaTnR0QVBjZXllY3RFd0FqeDdtSGN0V21mWW9uTjVaRDlHTnB6ZlF0eFJRVGh3NStMYzc2Q3VPdFV4WUQ4aHVKaVhhTGQ2aUhtVkJ3RHhPdkJUT2dBa2ZNN0dhdUFGS2U2UjE3U0V3N3FuTlJKVFdVNkZqWUkyQnY5MEtSN1Bmd0NkY0IvTnlQSGlYZlRpczAwenA5bHg1TTJrbHloWFhQZkNxTHk1dG9sQk1oajZqMDJTd1RxMXBoOXlVMzlWOGZrdVdVMS9uYTg2N2V4b254UndVbElkNzU4S0tWVEl3UVp2MzFFeTQ5cU5yT3NvTGxtSUlhZWErelpNc3VUa0E0dnVHcWZDcGtCMzNqVTFZT3dGemR3UFVBbzZXamlrTE5BUkVpTjNYUUVSQ3JkRXN0bUs0YjB0enJPb09XZnNkcE54S2QySGovbUtBUEZ4Z1VQb2RONUJZMWo2QjArTWZSRVFJNmdPS1lYVWwvNXpNVDRidGs2T09aRkRLRnN6RmZPcmtiWjRBeXhwSVhXbEhMMGhQanRUS3pCYXRwWDBhR1o1Nk9rNVRnQ0FaUDBuc3h4ejM1L2tnZy9KeE5GTVhXeHZuSUlNQnlMVTVBZmptVU9MRFNoTFAvNkxib1Y2bnVDN3hwNktRM3RrWUd3dlZlUUl1NE96L2liSWlld3VlT1g5WVlXRXhqN1lOUWZ1MHJhODhUaVgvS0xveVIvRHJuMzJlbG0zQ0Z3MXZIOGxyemUxTFVsWGNUeWZTMTkyWTd5RGp6ck8yZ0FvcmtxRW0rQ2xXeENKdW1mcU13Szk4d0cwZzhCTE9CZkJBL2F6TDhveG9PSXRxb2h5RlBoMXpiNjlKY3p0MkJmRTBYVEdLWjVWakFXaFRtckNTMXlmY1RwWjUxTk93aHQ5R1k5V1pESEE2eDRMOU0vbG1xTk44Q1JGd2dtbXZadEJKRW5XSHBUYzlnbzU5RkxDTGZLaXJhNGh0NnBvNXRGTS9UTjRWQm5UYjhCOVJVRDljTzJxeFhrZTZqaUx0L3VIcWJBVXlMT2t2N3FzNC9JSXJRV0tqL2Y1RHhJbzdxWFYvd3BRZVp6SXhUOXhRbi9ZUVh2ZmVCRHdiajIwVGp6YW8vdE5xSmFDMDBuakFoVmdGdGNvblJKZ2tDNTZDMWJTVjkydE51ZlVxcEJZMFlxb0lpT0xmdlJsZFFMUU91T0t0MWNRVC9FOWJpeTNTM2JsUTV3ckJGMkNzanpnRENVMVkzcWhtUzh0L2pUbUpEZVRlYWVjOFNaQWNXUTBvd1JTL0RtaTYvSERxU3BKNUxEQURPc3lleitHWXRNTjZPb2N5cW9WUkF0Y3c5VU9SMjZXeFVUOTZ2UTl4YW8zZXdOYVdzZHNOTE9uSWlKL2FFbHFGSkc1T1J1Yjd0VnRTY3IzVVhNZ3JmSjI3d3VEQWhyRjE1dFlaM2NlRlROQUc4YllITUhOeDdRWDRKMVowTUkzMkhmWTZRRHc9PSJ9&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/474988313.webp?k=7462039e9b8c76f96f289599ffefb11e833125e121875a5643043f84f65f3aa9&o=,N/A,N/A
"Motel 6 Fort Worth, TX East",$46,2024-07-02,2024-07-03,8.1Scored 8.1 Very Good 29 reviews,N/A,Fort Worth,,N/A,N/A,4.1 miles from downtown,N/A,,https://www.booking.com/hotel/us/motel-6-fort-worth-east.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=27123702_326403523_2_0_0&highlighted_blocks=27123702_326403523_2_0_0&matching_block_id=27123702_326403523_2_0_0&sr_pri_blocks=27123702_326403523_2_0_0__4567&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/541354735.webp?k=55391fb5ae617836680dca28fb4a4b6e3f29b2b1c08421477747ff71ad3abc59&o=,N/A,N/A
Courtyard by Marriott Fort Worth Alliance Town Center,$129,2024-07-02,2024-07-03,8.4Scored 8.4 Very Good 91 reviews,N/A,Fort Worth,,N/A,N/A,11.5 miles from downtown,N/A,,https://www.booking.com/hotel/us/fort-worth-alliance-town-center.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=176564305_246433771_0_2_0&highlighted_blocks=176564305_246433771_0_2_0&matching_block_id=176564305_246433771_0_2_0&sr_pri_blocks=176564305_246433771_0_2_0__12900&nad_id=f5734ab7-7078-4885-bfc3-bbd76b2f42b4_0&nad_cpc=1.8&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NKWk5CK2lLUFN2T0tLUFFGbzRxK1ViQ3dZMTl3YVJURmIxQkQzKzA3WG52Y09JV1RreUZDRmcxT2IwUlh3b1JQZzdqNVV5NVkwSWxrRStPTUZnS1dKeXRGOVlMaVE2bmlGZUl5SGNCWFduMTBNN0psN1N1TnZsQjZLNnJEN2dneFhpc0JqT0p6aHMwRTJiQWc2MmlJb3MxQVIrLzVwbWRQSTQxeHpNQVN4Wm40bEtlQzBRNG1mSmdHbHQzYW56aFQvUHBkdUxRandrcTlTVWprajc3ajIzdThVWDdwYWwvd0FlQ0IwQkZTckVKcTdQSmVFa1RpVVNxMStrVHNGSHNjL2NPbS9PL3VFZW5xSXhIUUdmd3JvMUZMVFBHcUpDbzNmakRDcW52VUUyamUycG8wbzBUZThRR3ZvRjR5cWVuZjZ3Q3RhSGJ5UjN0ejBEYUJtdm9qWGZTSjNva1VPTU55QytUeE9NckhtK0x0ZVNQZGdTNmNBVnUzd2dISzQxSUUwUzNZSjRKbldrckdnSWl1dkFkd1JaMW1PRkN2NXEzM1RtNlpKRklTM3UyYy9CU2IxTDJwYkJBK3luNFhtY3RmOVEwVVREdmZ5RGxhbU4xWURqNGhodzJpcWY1Z0Vjbjl5Ry9FMW5JRzViemNRKzRMYWtHb3YyN0hlRk1KQnVOemdhNzl2S2hhWGU2ZGp5cVZuUDk3VEtqeFZ1Z0hCTExBUEdQRE4wVmx6RHNPS1l2OHdCM1U4RVVMbURvWU1UL2FHTVhzUFByd1hPbG1tazJTTXRtMGhPNXR3N253NjZiZ3F6aG8yc01STlpwRnVsVkhlMVVlb0RMa0FpaWJ3ME41LzliY3l1QWNsZTZ1WFJ4SHk5T01hdkUzNjQ4ZUdYbVdXYlBWby8xQk5Yb2d2NFdSTjR5ZEZEa2RBT2dqSDBRcVpzcytQUHlNcnZ0Njl4bTNvL2pmVUtWd08zRy9aWjdMWkFIOWdIaHh5QUJMaG1OQzMxTE85cWVJb0JsR0tFQkJ4S3BhaHFPZjdDVVhFN1hnMHVSS05xVy9kanhGSFVONFp1WDdjb2dlaERsWExEQmtnbGRFWUpxYWlrUzRDOWdkZmJwUTNPbDJKNEpXRllTcWdwelZidmovNUd5T1A2Y0NzWjltY1dJWXdyRDdvTGRBMXBPdDBtQjg0RkxDNWJXV3NVdWFyVWROOW16VGxZSXVOSVErMXV3UTRGNkZ5L0NTTElNcnhicDNsd3Y2akhzZnBDZTgvTkxzZDRmUjJYVURYbGxKckZ0L2lSYitGd09oTWZDZFNFNmNDOU5tRVlYWlJZYm5XNHNTMW84TjZyK2RGaGhBTWJEbmsvMzI3ZFo4WnN0eExYcTROcGpYR2xqN0hBMndnT2JNSmZKOFhPTXh3aWJGZFFiTXN2SnR3QXd6SHR3dUJwT3dRQy95MUZsOU55L2tIOWFUNmh5Q3k4cGs5N2RTR0JDUzhVbzZSSGtWUnJHZmFuRmpYRExDcHpYL05LZU1UNlFxRXJzVktpKzRNSVNXSGpjbFhWYUZ3bnlyZC84d0hJdzM0R1FEd2lLNWNzcUY4dnZnYTZUc2o3QWpRdTJIbFR6Q1I2d3NnUzA1bHBCNXRuYmdkcmtXaGFRMlVFcGg0WlJxWmFJQ2g3Zk0xTFBCS0dkVElHMGdkNkUxSDFwYTlSdEhUSExPTDFaRGc4MU41VVg3NDdKdGhUcTV0cTdtWm0zb3JXZ2JaTnR0QVBjZXllY3RFd0FqeDdtSGN0V21mWW9uTjVaRDlHTnB6ZlF0eFJRVGh3NStMYzc2Q3VPdFV4WUQ4aHVKaVhhTGQ2aUhtVkJ3RHhPdkJUT2dBa2ZNN0dhdUFGS2U2UjE3U0V3N3FuTlJKVFdVNkZ2UUptWm85a0tSN1Bmd0NkY0IvTnlQSGlYZlRpczAwenA5bHg1TTJrbHloWFhQZkNxTHk1dG9sQk1oajZqMDJTd1RxMXBoOXlVMzlWOGZrdVdVMS9uYTg2N2V4b254UndVbElkNzU4S0tWVEl3UVp2MzFFeTQ5cU5yT3NvTGxtSUlhZWErelpNc3VUa0E0dnVHcWZDcGtCMzNqVTFZT3dGemR3UFVBbzZXamlrTE5BUkVpTjNYUUVSQ3JkRXN0bUs0YjB0enJPb09XZnNkcE54S2QySGovbUtBUEZ4Z1VQb2RONUJZMWo2QjArTWZSRVFJNmdPS1lYVWwvNXpNVDRidGs2T09aRkRLRnN6RmZPcmtiWjRBeXhwSVhXbEhMMGhQanRUS3pCYXRwWDBhR1o1Nk9rNVRnQ0FaUDBuc3h4ejM1L2tnZy9KeE5GTVhXeHZuSUlNQnlMVTVBZmptVU9MRFNoTFAvNkxib1Y2bnVDN3hwNktRM3RrWUd3dlZlUUl1NE96L2liSWlld3VlT1g5WVlXRXhqN1lOUWZ1MHJhODhUaVgvS0xveVIvRHJuMzJlbG0zQ0Z3MXZIOGxyemUxTFVsWGNUeWZTMTkyWTd5RGp6ck8yZ0FvcmtxRW0rQ2xXeENKdW1mcU13Szk4d0cwZzhCTE9CZkJBL2F6TDhveG9PSXRxb2h5RlBoMXpiNjlKY3p0MkJmRTBYVEdLWjVWakFXaFRtckNTMXlmY1RwWjUxTk93aHQ5R1k5V1pESEE2eDRMOU0vbG1xTk44Q1JGd2dtbXZadEJKRW5XSHBUYzlnbzU5RkxDTGZLaXJhNGh0NnBvNXRGTS9UTjRWQm5UYjhCOVJVRDljTzJxeFhrZTZqaUx0L3VIcWJBVXlMT2t2N3FzNC9JSXJRV0tqL2Y1RHhJbzdxWFYvd3BRZVp6SXhUOXhRbi9ZUVh2ZmVCRHdiajIwVGp6YW8vdE5xSmFDMDBuakFoVmdGdGNvblJKZ2tDNTZDMWJTVjkydE51ZlVxcEJZMFlxb0lpT0xmdlJsZFFMUU91T0t0MWNRVC9FOWJpeTNTM2JsUTV3ckJGMkNzanpnRENVMVkzcWhtUzh0L2pUbUpEZVRlYWVjOFNaQWNXUTBvd1JTL0RtaTYvSERxU3BKNUxEQURPc3lleitHWXRNTjZPb2N5cW9WUkF0Y3c5VU9SMjZXeFVUOTZ2UTl4YW8zZXdOYVdzZHNOTE9uSWlKL2FFbHFGSkc1V1F1Ym5pUU11Yzl6WThJQ0hlTW1qMHF5eGs3MTB4NTVjcWRLTldMaEdzZXNiVlo4S2Z0dUJMVVo3SUp5aGdhUWs1SEFidiJ9&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/446984344.webp?k=14ace7ce1b815466958b1baed26fd09d9ab0bbfa2109d0d791f4502138b08391&o=,N/A,N/A
"Comfort Inn & Suites, White Settlement-Fort Worth West, TX",$75,2024-07-02,2024-07-03,7.9Scored 7.9 Good 816 reviews,N/A,Fort Worth,,N/A,N/A,6.8 miles from downtown,N/A,,https://www.booking.com/hotel/us/comfort-inn-amp-suites-white-settlement.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=109989906_276688708_2_1_0&highlighted_blocks=109989906_276688708_2_1_0&matching_block_id=109989906_276688708_2_1_0&sr_pri_blocks=109989906_276688708_2_1_0__7500&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/34962805.webp?k=82c0500e28ce3c4ac03351b76702e333039d21221457bd4ffcee4bbe019164d7&o=,N/A,N/A
"Motel 6-Fort Worth, TX - Downtown East",$50,2024-07-02,2024-07-03,5.0Scored 5.0 Review score 710 reviews,N/A,Fort Worth,,N/A,N/A,2.4 miles from downtown,N/A,,https://www.booking.com/hotel/us/motel-6-fort-worth-downtown-east.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=51354002_353335594_2_0_0&highlighted_blocks=51354002_353335594_2_0_0&matching_block_id=51354002_353335594_2_0_0&sr_pri_blocks=51354002_353335594_2_0_0__5039&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/254201062.webp?k=62e2c2547c908cf5a379d18fc2114cb6ac5e2d5eb5ef0ae54c461193d1f63242&o=,N/A,N/A
Quality Inn West Fort Worth,$59,2024-07-02,2024-07-03,7.4Scored 7.4 Good 730 reviews,N/A,Fort Worth,,N/A,N/A,7 miles from downtown,N/A,,https://www.booking.com/hotel/us/cattle-baron-quality-inn-suites.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=7944212_112302316_2_1_0&highlighted_blocks=7944212_112302316_2_1_0&matching_block_id=7944212_112302316_2_1_0&sr_pri_blocks=7944212_112302316_2_1_0__5850&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/229334020.webp?k=ec45be12d7b890505bf8f3d0d97ded5f6c69e0a08fed01201c17d49842454fe4&o=,N/A,N/A
La Quinta by Wyndham Fort Worth North,$80,2024-07-02,2024-07-03,"7.4Scored 7.4 Good 1,173 reviews",N/A,"Fossil Creek, Fort Worth",,N/A,N/A,5.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/la-quinta-inn-amp-suites-fort-worth-north.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=46209703_246092574_4_1_0&highlighted_blocks=46209703_246092574_4_1_0&matching_block_id=46209703_246092574_4_1_0&sr_pri_blocks=46209703_246092574_4_1_0__8000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/194574511.webp?k=138bc7b4478c805727ba6c2890a9afd3c39f61aef3b9ea25c24ae13066345c69&o=,N/A,N/A
"Country Inn & Suites by Radisson, Fort Worth, TX",$89,2024-07-02,2024-07-03,"8.0Scored 8.0 Very Good 1,907 reviews",N/A,Fort Worth,,N/A,N/A,2.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/country-inn-suites.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9mb3J0IHdvcnRoSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gC_YmOtAbAAgHSAiQ3ZTcxOGQ3ZS1mNzg4LTQ1NTMtYTZhZC1jOTYxZTg1MTU3NmXYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-02&checkout=2024-07-03&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bd9a20fe29af0407&srepoch=1719895297&all_sr_blocks=7895702_187954783_2_1_0&highlighted_blocks=7895702_187954783_2_1_0&matching_block_id=7895702_187954783_2_1_0&sr_pri_blocks=7895702_187954783_2_1_0__8900&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/521231191.webp?k=054e02682a2e55410c02bc509e744c3f9460d6385c88a6e94a359575088b93f1&o=,N/A,N/A
