Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Sonesta ES Suites Dallas Medical Market Center,$115,2024-07-03,2024-07-04,7.5Scored 7.5 Good 229 reviews,N/A,Dallas,,N/A,N/A,4.4 miles from downtown,N/A,,https://www.booking.com/hotel/us/sonesta-es-suites-dallas-market-center.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=26341401_295557244_2_1_0&highlighted_blocks=26341401_295557244_2_1_0&matching_block_id=26341401_295557244_2_1_0&sr_pri_blocks=26341401_295557244_2_1_0__11500&nad_id=0db2f327-6613-4c02-9683-be324ba25c00_1&nad_cpc=0.97&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ii91TGhKZU9xanRqTTd5bW81RVRXOUdoOGs0M1ZtbmFmbDZNZmlOZkp1N3dFRWQ2eVd4WHQ5VFV5RElnZjF0K213RkF5bnVBQ2IvVFEveEtnTzkzL0taL1hzZHRpanhZZWlDMDVKMG5yL2haT0huckVrQW1jdVVtT0dUc0sxMm5sWVlYeVRrQ2VYL0IvSHhSQXRoNG9OQ09yeDNPVmdEZlg5OStJanN6dzJOcHdvd2NGYmkwMjlJcXByRFQ0RzV0QVlLM2UwRVhtY1RzTStGYzBBTDM5TGQ2UVhUcVVvcmdPdVhGV05Qc3lrZUFaNE9uQlFxRVViMG85VGRMZE9FWnNVOFhCeGlvNmlsMktLamZsVXlOZHAxOVZ0NkU3eUtXU3BuTWx1NDYrblFNcmE3Rm4waWRabXVCOEhzS1k3RmpvSTVybHFQUXJjbEFZeXJsTmRHRzNlOFJ3NFMvY1JqNEptckRsbENwNjhnNGZtdUEwZXlaSWJGZlpVUXQ0RXdnYysyM1ZBY3FETkZ0U1lqSVNWd0N1OHJ6VGI2ZHNFMkk4NFRqRlBoRDQwenJkV1FkcmRHSkZ3KzhwYVIwQU45REc5bkJXR2FUV01PWXJTNjhpazRxSGhPL2hweGs1ck9meVIyZkdxVHpObFc5LzlocmhrTlBxbHg0MjIwTWtEODhXMk5td3liUnRKd3JxeGIrOWpWQUQ3Mlo4a3ZCcy9DV2VVb1Y4WTd1elFpcjZiV1NDelVaN1lxdWM3eHRJRDFleGt4Q2lZSTgvalhHTWhZb0R1cmMyZS9tUFV5UE1IbzVucGErdXFrSGJKc3lXbWRodlpsNDlUNDBWVGNBMmY0SVF4c3c1UjVuWjBWNFZHLzg5MEVqRnZTaFYrbktxN3c1QzhFOXR2V1dFUTZGWnZSSTlXckhvZk9Vd0pMTFlOL0xHTzI5MGFTNGdSZzc3TEdVL1ZVYm5iTnlyMWVQdS81YVhJYzhHOXNuTFlleU5wZDF1ekk4WU5reXV3OGJlYUQ3ZXhISHNjU1J3d25rcjE4cmtVcnFYMFc2Rk9jRUNaaldvT1pvVXNpRVhtSnAwbWk5cmw0SUhUa3BGTURCa0pFSno0Szg3M2ZhdzNFdGhUY3JIb2dLMnZDcDRjMnozSmVaRm1aUUpFdWQydmtGOFFGQnNvajhBMGJXZWlZaUJCMWs5anRJNGFIQU5rUFVvWjMzZFArMHRWRmJwdmNFZEtyTlFkQ3IzU3Fkb2pxdEFEdjM0Q0l4SGdxSldNUGh3aWw0Nms3VkZubGJrQm9oOUFIemVNdUZ3OWNTL0kvTC9XSnV4YWRYd01oUVMwWVRlODdmc2tWUzZUY1pkZ003NG9rNVdOYVQ5b1FsYmJKV2tsei9kd1luWlpyc1VFZnlGVThqZG9yMVhxeHRYNndlVUVwNFQzWUEyY1hPbFFPcDM3Rnppa0dDVzdDcEtISE9BR3BFRE9XYlNIUFVuRXBYYXcwOUhhKzRBVTJxZTZxSVp5MlZ4d1pXSE1LVERTZW9yejBIU2s5SmZJb1ZCcmF3WGg2VnNwbmYyaHpWeTl1SmxJWHppMW5zWTVrSjJvZ1hteTRXbmN1L1c1ZG5ORkRJYkZxc0FrQ3pDMEJSRFRQakFYUHRINGZTSkdlZjFCdUdRTEVzZlRaOFZJaTZUWEJ5Q0RXMlQwSkl2NDZnbXNGQ3dzd0xhVndqTmRGQU8rTmNrVldXak43ZFRnaUZZMHEyaHBwcEFoTVM5aTJqQ21NeHlFRWg3K090OS9XZnJud1hONVVmS0xLbzFYbWxmTTAzb1Rrb3gyWDErMmcyME42Wmo4OFJJNTRGRkFpUU01RWg1U1lPMWI5WU91UDJZU2ZXS0haem1wS0dXY1pmQ1FBQVk4ZkhWUk9NWXAzc1RxM1hSdlpEZUJraStxZ0hqSGJYUXFiZkEwdVFYN0dnR09UYVh4dFArd3RvNnlTZVl5WU1qV0toN3NLVlZQMW95Mm55bHU4b1lDMHhJbkRXQTl2YnRKQkRoR3pZZEZjbGczREdBU1pYcmVzUmxJb1IxVjRoVjgrcFQweXAxcXdUempQQlhrMklFeFFBYURKdmF2bytiaTJEQVlyaGg1Ym1lL0RFZGxIRWQ3TTNBcER4bWNsOVRXRVVvcnNkYXhDSXRBM1pUbnA2Q1lIdzNmWWpQTlYyRUFBeS82cXBOWGkxUnBIbDFsK09VYi9RUzAwRGdVNm9nMU9PeFRxRDhoUnpDNW96cFhpODRhUG90djVqeWRYQnQ0eUswanBUc1kvN2dEZS93SlZTSTVqUGlOcXdQYnlIejBPeVhtNVc0NDBJb3ZVZVhtYmJWdEdPTGxrWTVKUW5mWThPVjBrMzNqd3F0WFFuVUU1cVNIcmJTSVRkWTh5RkhpQStkOElxVmVJaUNxbUwySmVjWlVIVTRQTm5IZTkrY0V2NnRWU3dTK0I0bHkxMG5GT2o2U1NqYVYyRzNFaTJ2dXo0b1VhaVA1Z2grb3FTYmNjVnhFUkFvZlVubnZUaVNFVGNPY0d3cW5kTG9WZzdBU0d2aStkRWtkUmp2RC8yMTY0MGtwRVlzTHFLVGsxUy9NY3RjenYvRUE4ZVdsRU9ldmFDVnpZc0I4VjNybzBHaFZJVVBCZi83N2RjMjJBSnBkV3VBckFaWDFpNmlXQzZ5RHZRdjJLQWpxRDhUMWR1UEV1ejRjNyt1V0E2TEpNR0NCQnVscWNCeENKMXM3MVQ4MkFQWlV4YjkvcUpHR3lmVjZkbFc1VE1uZ2xwek4rN2todDRsblAzeWNwWjVQdWx3RzhRWkdKWGdzZlBVb3R2RTgralJrRmkxdU9RMFVhVlhFYkc2NlB3OU9tNFB5ckZNTDVPZUtueVNESEx6T05YeGFzd05kRlpCMjJVWC8xY0xCMy94a0E4eCtuRTR5RlJCNk5hVTlCOWZLMXRYQVlxbnBwc0gxYU5XR2NQc0trZ3A2M0FSZk5DYk90RFJqbHRnTGtmdVlZRitkQ1B5dEVlT2dUaEFBQUp5bE5Ub2tObm8zdThKdnkrY2xBNGc3Q3dzWTBEN2s2Q2kxamswTmVvc0M5SDYrR056aXRSbDV1d1lOM3I4WE5mZHM5MHY0UmxEczdTNDdTdnVNbFR6SFBDcm5uSWhTQ3FFUGdHUEpwNTk3VDB2WkhLU20xbFM4ajg2U3BEOUZWSTZtVC93SlVrUXQ1SlA4dnc5WlAvODl2YmxZTHphOURvTEJTZmRRWng5b3ZDSStMTko2NFIvLzdYV1FkOEZNTG8vYlJpMEdDSmRVbW1NS0E9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/323876729.webp?k=461b6c076eb11860a638fc1a8d3a2f1182626841c3b478dac036bd3ab4d9d4de&o=,N/A,N/A
Baymont by Wyndham Dallas/ Love Field,$76,2024-07-03,2024-07-04,"7.3Scored 7.3 Good 1,226 reviews",N/A,Dallas,,N/A,N/A,7.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/baymont-inn-suites-dallas.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=25016023_246079974_2_1_0&highlighted_blocks=25016023_246079974_2_1_0&matching_block_id=25016023_246079974_2_1_0&sr_pri_blocks=25016023_246079974_2_1_0__7560&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/139382628.webp?k=12c0582362c62c3de09a3bb4417b2f74506185c9b4cd47395a9750cb541f59d1&o=,N/A,N/A
Wingate by Wyndham Dallas Love Field,$89,2024-07-03,2024-07-04,"7.4Scored 7.4 Good 1,252 reviews",N/A,Dallas,,N/A,N/A,5.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/dallas-8650-north-stermmons-freeway.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=32055911_375372141_2_1_0&highlighted_blocks=32055911_375372141_2_1_0&matching_block_id=32055911_375372141_2_1_0&sr_pri_blocks=32055911_375372141_2_1_0__8910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/141003023.webp?k=b939f1f8854a6b5630353293e5c48e9f80617ec964033bee9ad720ce0447dd56&o=,N/A,N/A
Hyatt House Dallas Uptown,$93,2024-07-03,2024-07-04,7.5Scored 7.5 Good 903 reviews,N/A,"Uptown Dallas, Dallas",,N/A,N/A,1 miles from downtown,N/A,,https://www.booking.com/hotel/us/hyatt-house-dallas-uptown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=52036906_393713443_2_1_0&highlighted_blocks=52036906_393713443_2_1_0&matching_block_id=52036906_393713443_2_1_0&sr_pri_blocks=52036906_393713443_2_1_0__9265&nad_id=0db2f327-6613-4c02-9683-be324ba25c00_4&nad_cpc=0.82&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ii91TGhKZU9xanRqTTd5bW81RVRXOUdoOGs0M1ZtbmFmbDZNZmlOZkp1N3dFRWQ2eVd4WHQ5VFV5RElnZjF0K213RkF5bnVBQ2IvVFEveEtnTzkzL0taL1hzZHRpanhZZWlDMDVKMG5yL2haT0huckVrQW1jdVVtT0dUc0sxMm5sWVlYeVRrQ2VYL0IvSHhSQXRoNG9OQ09yeDNPVmdEZlg5OStJanN6dzJOcHdvd2NGYmkwMjlJcXByRFQ0RzV0QVlLM2UwRVhtY1RzTStGYzBBTDM5TGQ2UVhUcVVvcmdLdUg1V01mc3lrZUFaNE9uQlFxRVViMG85VGRMZE9FWnNVOFhCeGlvNmlsMktJVC9uVkN4ZHAxOVZ0NkU3eUtXU3BuTWx1NDY2bkF3cmJyRm4yUzlibmU5OEhzS1k3RmpvSTVybHFQUXJjbEFZeXJsTmRHRzNlOFJ3NFMvY1JqNEptckRsbENwNjhnNGZtdUEwZXlaSWJGZlpVUXQ0RXdnYysyM1ZBY3FETkZ0VFlqSVNWd0N1OHJ6VGI2ZHNFMkk4NFRqRlBoRDQwenJkV1FkcmRHSkZ3KzhwYVIwQU45REc5bkJXR2FUV01PWXJTNjhpazRxSGhPL2hweGs1ck9meVIyZkdxVHpObFc5LzlocmhrTlBxbHg0MjIwTWtEODhXMk5td3liUnRKd3JxeGIrOWpWQUQ3Mlo4a3ZCcy9DV2VVb1Y4WTd1elFpdjZiV1NDelVaN1lxdWM3eHRJRDFleGt4Q2lZSTgvalhHTWhZb0V1cmMyZS9tUFV5UE1IbzVucGE2dW9rWEFLSTJkbE41blpGbHhWNVVIVE40cGZwd096c1U1VlpmWGtGVVlIZmM1eWttVHBUQkgrMnkxN1JOYytFWnRyMnVLQXFwWXVCb3JUYnFrWk84c0t2UFhNdjdOSVhKNUx6WXJSZ2pnSWlRcFRGN21hOHZzemZ1cDlOWFBKNTRJK0kvQVkrQ0ZvcEYyMU5vWU5oWGl6c2JhYWpuWGpUemdjMnQrekNzcHlzTHhRYmFUM0NpZEx0MGZhSHFrSUlNUnBTQUFqSjVrakNoNmxzUWZSVXRGTEQ0cktGdHA2NkkrMGZTcXgxRTNWY0RZdEFlb3NtVjVmbUg4TGVCSTM0d0REdWs2dFZ4d1ZsdGhvajRYMHJmUGtZS2RDUXNzaU5Belozd0YxKzB3SkgvZE0rOHRWbDNzcU53YksvTU5ZaTdrVzZ4Zm83eFdDT1RnRDZCN2lMOWJhL1orMkU4dmo3UkkyRTd6R3BWelVubkpQT1JxN3Ntb0pQVHBUNDZqZGRpMktneHowWks2OCtucGdoWDFYZTVHc00vRnFTb1JjcUdicldrSVVyS0dsQ0xVOTVuNkZ0bHhIWTc5S3JlNTBiTlorQmxINXhxREZwTVkxWVk3TjJ1c1grUWs2RWp2bFgyYjVqcEdBV1RIQXBvZU56YkJFL0J1Q3ByRXpSOWFhK3dlQW5LVjk2eFB6WFp6eVplQU9hVFJWZWR0MTFuRW1JWUFjZFZCOXVKYmg2QnN1MjZoMG1WczR1STBlR2FwMTN0TnNSeDFwUWpyeElHOWZPR1Y0TXZlQXpRR0RMMFhpeUdFeUI5RFQvN0NXZlpaNzd1QkVlanlFZlNGTVZFYVRvVUlNeUtlR2dTYVdHMlRpZDRpNDZ3a3QxbjUvZzdZR0FiRFBWUUYrTm9vWG4rK0tycERqMmRBMnEycW81cE9nOEMxalhmTTA5WmVMRnRveE50azduRHJoQWpONUV5R05QWXlVM1pKZWtPalZHWU55bUJNNmhTbklLWjQvc1JKN00xZFhpTUIrMTR3UjlHd2VOZ0xvdWFWWHU2SFc0VHRyYldZTVpER1Fnd1ovT0RDUVBZSnBuNEd1akxKcFlEY0JFNm50d2I1QUxhM3piWEkyZXdVNDI4YUpqQ1N6Tjcrd053d3ExK1d4ODQ2Uzc5N3E2aFVLRTBtM215enZNb0ZEMFFQaEMyUzl2YnNPQTNnQnlzY2NLMWcxanVBUTUvckVMeHJMTUowUkpkZjlmdGUyajh5c3h6emd2NFVubUlIM1JJSEJJN05wWXVUZ0hyVmQ2Vm41UFdHb0RZUWkyZFU0b0xDcnoxdmNGQmZVQUl3dHNkVXluUThGWEZSalltRGVubzJNWkN1TXl5S1Z3cXAvYkZBR0RWSnBIZDd3T1dDZU9VRTFFRDNXS2M2ai91cE9hYnI0eExNc0puNlN5MHBkZjBrK29DekxETm84anVzaWNYMGErRHVUT1Q5STF5ODBEU3VMclFmYlNQMXlmR1FnWWk3OGt3bS9FeWFuNzdoZ21TNnJVTWhBem5XV3V1SDBrTytseExZYndqZUdJeUZHNjZKTHprWitDeEJnRHV0Nm92RFlKQ1NxR0R3UFBvZVNtZzhLdGZKT3RTZEYvYTdRaWRlNEJRNXhSc21CL2Z3VHhMcVN6Q3ZDa3VPclNZM1NyZmQ2QVk0bzdlRWU4TkxPaDBoYUE3L3BWNnpCeThSYTNONGs5eXRReFBhVFRuNjRiMUlleGFoRE9Iazg0WTVxaFl4THFDTndreTBMTVVOMU9MVlJOK093VU9lNU95WXpZOEQ5bFNpN2syakc0c0JVL25vK3NRLzZ5cDNjbUdMdEZOUDNES3NEeWlrR2RrYzI2d2h2U0lWMUplWENyditJdUQvVmwrVUo5cUZGZ3l5b2NWOEM1TmxxRXoweGcyWVJSSDk2YWxMQVRmWXI4RmQrRDFvaWx0K1AvLzRpOUVpa2J2cWVJcDNjZUZ4RnN3TEg1UHpwT0xXdk12SnRmRGJqRmIwdXZFbFU2MUtDcjJzdWVScElYY1BpcjhlTFlpVUxFYXJCbkh6SllYcFlOSVdiVmdUMlg0ZCtXMHlEWHp4alNJYTkzZ3RqMHhacWRtUitCUkZBR2RCQm9xd3JaWWQ4NUZTSHZMUklVVnY1WDVXWWRpT0xjdmRoVlptRkhIako1bDFkRDc4OUV5RHVoTk5DUmRJb3RtdWlOTDEwS0lRckRpY2p3TWgxaEEvY0FIam1ieXNteUFuSXVvM0J0REF4SEJ1eGN4dit1SlZLbUh5VXREU3Z1NFQ4Z29DcTc2azQyYnpLVnI5Ry8rbXJVNHlWV1djTkIyQlpZeDkreXdvTldyR2dFQlNzakY2UVozOUZFVVhyeksyUFZFSHQ1UlA4UFFyYXZHcTQ4akpaN3JKNFNzSkczekZXY3gvc2I3RDhiOWY3WkordWVwNnNsVE5NdzVvZGcrWmlqZmxXRTN4In0%3D&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/115949968.webp?k=32e8451810d84656ded2b55355fda3fae24bd2963d5fed93a4e15215ca4bd98b&o=,N/A,N/A
La Quinta by Wyndham Dallas Love Field,$94,2024-07-03,2024-07-04,"7.8Scored 7.8 Good 1,151 reviews",N/A,Dallas,,N/A,N/A,5.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/amp-suites-dallas-love-field.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=45766801_246079497_3_1_0&highlighted_blocks=45766801_246079497_3_1_0&matching_block_id=45766801_246079497_3_1_0&sr_pri_blocks=45766801_246079497_3_1_0__9400&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/203464724.webp?k=230bab2c9fd01c8ff4d38e82eaf27e69baf7c12bda1adf827aa7d5ce9bb20dfd&o=,N/A,N/A
Comfort Suites NW Dallas Near Love Field,$61,2024-07-03,2024-07-04,"6.7Scored 6.7 Review score 1,256 reviews",N/A,Dallas,,N/A,N/A,7.6 miles from downtown,N/A,,https://www.booking.com/hotel/us/comfort-suites-dallas-stemmons-freeway-i-35-east.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=18534413_0_2_1_0&highlighted_blocks=18534413_0_2_1_0&matching_block_id=18534413_0_2_1_0&sr_pri_blocks=18534413_0_2_1_0__6138&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/179598564.webp?k=b78a6663a7f46d1b08b3fd26e74826ba0775413765c2279eb2e42a35f06a4196&o=,N/A,N/A
"Motel 6-Dallas, TX - Market Center",$54,2024-07-03,2024-07-04,5.9Scored 5.9 Review score 528 reviews,N/A,Dallas,,N/A,N/A,5.6 miles from downtown,N/A,,https://www.booking.com/hotel/us/dallas-market-center-1625-regal-row.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=37513905_353328797_2_0_0&highlighted_blocks=37513905_353328797_2_0_0&matching_block_id=37513905_353328797_2_0_0&sr_pri_blocks=37513905_353328797_2_0_0__5399&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/297740376.webp?k=2cbe4ec81dd62f0dbd8de65b15d1fd28a47aef68ba8e1ba5861fbb9515ee728f&o=,N/A,N/A
La Quinta Inn & Suites by Wyndham Dallas/Fairpark,$79,2024-07-03,2024-07-04,"7.4Scored 7.4 Good 1,264 reviews",N/A,Dallas,,N/A,N/A,6.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/la-quinta-inn-suites-by-wyndham-dallas-fairpark.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=682680701_278280001_2_1_0&highlighted_blocks=682680701_278280001_2_1_0&matching_block_id=682680701_278280001_2_1_0&sr_pri_blocks=682680701_278280001_2_1_0__7945&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/278929921.webp?k=d2cb6f4734a995783c9b957b49f21127f692351a3b0f2661e7afaa09e8559fd3&o=,N/A,N/A
Magnolia Hotel Downtown Dallas,$101,2024-07-03,2024-07-04,"7.4Scored 7.4 Good 1,542 reviews",N/A,"Main Street District, Dallas",,N/A,N/A,0.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/magnolia-dallas.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=25311702_237188249_2_0_0&highlighted_blocks=25311702_237188249_2_0_0&matching_block_id=25311702_237188249_2_0_0&sr_pri_blocks=25311702_237188249_2_0_0__10115&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/105226416.webp?k=f06a08015ff2d269c5636071bd31d80467c6f7c06c5e42598eb4c82ff9c1cba3&o=,N/A,N/A
Sonesta Select Dallas Central Expressway,$104,2024-07-03,2024-07-04,"8.1Scored 8.1 Very Good 1,483 reviews",N/A,Dallas,,N/A,N/A,7.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/sonesta-select-dallas-central-expressway.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9kYWxsYXNIM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALH6pK0BsACAdICJDZkMWIyNzEyLTljYzMtNDE4YS1iOGQ3LWVkNjRmYzc3ZWMyNdgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0ef9106313f505ec&srepoch=1719973196&all_sr_blocks=26430507_295485447_2_2_0&highlighted_blocks=26430507_295485447_2_2_0&matching_block_id=26430507_295485447_2_2_0&sr_pri_blocks=26430507_295485447_2_2_0__10400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf2.bstatic.com/xdata/images/hotel/square240/305739838.webp?k=9c7c29212126f778e1631fc7c6ffb84403b7c35cc0f666d54b5681d04c8b4bfa&o=,N/A,N/A
