Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Orangewood Inn and Suites Midtown,$70,2024-07-03,2024-07-04,7.9Scored 7.9 Good 791 reviews,N/A,Austin,,N/A,N/A,6.9 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/r-limited-austin-north-austin-texas.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=5947109_387067747_4_0_0&highlighted_blocks=5947109_387067747_4_0_0&matching_block_id=5947109_387067747_4_0_0&sr_pri_blocks=5947109_387067747_4_0_0__6970&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/159868442.webp?k=9efdf9b9a34f08c1ccc97dc72b2c21ae9ed05846a54042e09c3b506bc7f661f0&o=,N/A,N/A
Element Austin Downtown,$159,2024-07-03,2024-07-04,8.2Scored 8.2 Very Good 92 reviews,N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/element-austin-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=217461916_365326925_0_1_0&highlighted_blocks=217461916_365326925_0_1_0&matching_block_id=217461916_365326925_0_1_0&sr_pri_blocks=217461916_365326925_0_1_0__15900&nad_id=c99b32d2-d4f4-455d-969c-7c92d941ac39_1&nad_cpc=1.96&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NKWk5CK2lLUFN2T0tLUFFGbzRxK1ViQ3dZMTl3YVJURmIxQkQzKzA3WG52Y09JV1RreUZDRmcxT2IwUlh3b1JQZzdqNVV5NVkwSWxrRStPTUZnS1dKeXRGOVlMaVE2bmlGZUl5SGNCWFduMTBNN0psN1N1TnZsQjZLNnJEN2dneFhpc0JqT2R4bnRJUHhiWTM3SEtJdGRoYVI2QzZxSFpET290MndzcFptNDMza3FlRzFSRTNQTk1FbXRyTGt5RmY5YkVEcXFJeGp3eTdYMERqa0tMM2tDV29YWG5nWTFucEVxN1cxZ05UdjB4Ny9yVWRFa2oxVnlxeC9scnBEM3dWOU1XeDRlK2pWL3JySUFIRUgrMHhzeG9WVFBtNmRDbzJlbXpIdHkvQVJtckgzSTVqOWxxSzZsMzY3MUV0cnVQVnVsR3RQaVAyU0R4bTBIblRtcWg2VGVDSXc1QUFlNWQ0RC9QcUxzYmdrYy8wY2lmTG1qS2JQRlNSeGxlVjhFUVhubWJQTjlRa1dsTElnTmY0cmdkMEU4Sm1JRjZ2cWVEaFQyK0ZLUUpSM3ZXUy9Fak14cVNpY3hFbzBFZ0dwZHBWcFZJSFdpaVJuemhFbnNKMEhsVi9pQWFqdXJNbUdNTGh3bmZWMVhJSS9hM0NXdjhIS3g2NHEyL2FZVWRFUVBkN2dMR3I5YmhNVGFQS2pTdWZoL2htUTdUN0dya1hFcUdPZDJYZE5sdG56U2hFWjV2b3d4L1BwZ0ZNbURrVVBIYUpWTmZuTWZyd1hPaHVoVXlKTHN2MXdLbHR3TFBtOU91di9TcGoxOE1TTlp0T3BWUmNaMGRmNUhuckRqT1N5Uk1tb2RqRW1hQlhrK3l6VVJZUm1JYWZaK3drdjlaUURubUlTT1NkNUxvVk9tbzlzTnpBY2MvU0VUOGVRN3R2U2dsL1A5NG1mZldLci9jOStoSDA0cnVRQXZzOUxIR3hiNFhPSzFLMGsyNStsRTBSaW1aSnpGUE04YWVLb1JsUmZoOFUxcUJIbFA3U3Rpb2ZEN2JrMmZCSkxmTHJNREJOQUU4c1A2aTFlSXNXakh3Q2RYaGsxZ0lRTnBhV2xsUy9FTTBLT3ZJUmcrazhkc2tSQzRTZ2d0Q09JZnkrdlNHQ01hc0p2WVpnZW0xQzJMcjAvS2RONkpPcnlVcGk4VkxvNnFpUmx3cmYrMDRPcmliS2tOUjhjTkV3enJGVXJoQ2N6ZnFiTjRVd3hicGxrUWZzeVRSVWlYTHJ2OXEvWHRmVjRuY1pLenBnc0U1K2pEWGtLekN3RnMvL1lGK0JYS2toSElha0I2RFNZOEZYenNKTWp2aXRNRlVlZHFENGwvM3Q3SlVxTW9nNk9DM2phZDJCRWw3NUh4YWgyNitlWnFKckg3ZHJ6RDZGT0VyVi82Y3hud3g3UUo5aEFjUHJFbWk1emt4N0lTM3BVNHZXcmhEVzM1Sis4YkFhVEIzRXBBVWpHaW9RWEtYSWFuUW9RanZLbzI3ck12T0lGYUVwQXFkUkx5bjhkOXJBRmlBMlNrMlZpVFgvTktSZ0NJWTIvWFJha1gvck81cVA1Zm4zZnFYaWliby9WcnpVd3k3Y1ZLQjB6RFVsaU5CODkzcmtjdlZkaWF3MldRd2twcEZ4YUxJU2k3MmFoL1dLZVRKRUtHWXFmcUlwQkFZY20wRWJEVVRTQmxCQmt2dEc5MFhucytGdmdET2s4YmlpYm5MRXF6UlVVc2RFQnZVQi8rdy9FeHh6bEx1Q2U4amhhODQyTG9kS3NUSngzZVFveUVWQjAwUTdhNDZsV3JqdUh4Y1U5aG1TZ25HWVpxelJ4aFlqUzBTNUVpR2xIMFhMbFdhb0YxYVpoeGgrWEUwOXAzTlNQVEtRNlRmRE9uTXh0MzNCc3J6N0dzQVcvOENPQ0NQT1ZqTTBnblFyemtNWnlWNWdoR2pQZkZPTHlveG9sWDBoajhqbXhUUkgvbllxdUdJbjZWa1QwN3JDaktXZHNQaVFpOUsyWGhrc1BNRHg3YnlFWDVFVWJQMmpTRHcxcThlSnBNYnBtNVVhT2VPL1pzcHBHQXg3LzZiOEkzc3lYVHJsUlV3VjJCdVY2TUZENy9McXRHMklSMFpyY0NXVlYwZmlNeHRpejZrYTBzRHJOdFBlT2Z4WkNoS0wyRm5OcnVWR1FRVWJLOElTNjEwNmpQY2k5NWFTVDBWNjF2TFNBaGc0bWprVnB1SXRoYnJGQWlXWHRpeGRQYllIY3M1cWtkTlFKMXZONkJUcGt3U3lQSkIvUTN5Q0kvdmJvWlR2UkZrZTRtOHRsblc2NUFKcHZaUjZIdFBKdTZ5Zlp0SjZPMUZBZXlDSlBLWFRsdU8xcmZqdlRhWHNUZlE4cXFScDR4eE54ZlYzUnB2L1huTFZLOEhYOHUyTkZvNVZUQXM1cG9SUVYvQXhmdlZGeWkzcmFjWFl6RERrbGovb2pDREdsRXlYcHczTmUwVFV0enBNeWFMcnFHWnpsbnU4cmFEMVh0WGs0UkhtVFFUaVhvbnpNNjhsTThkMUVFazBRYm1BZGh4d0ppdXM3azRmUE9TcGl5TjBuMEtYdFkwSHpwTENOUjA5VTJpSTIwREdWaHV3LzJtdW1POU0vTThrSmE5M3Q5eUI0SHhPQ3cyMDZmd1VvQkNxYlpoY0ZGbzdpMkRWdmxNSHhTbnBHcHNvNkpOUUpDclFNeUtadGtJeXB0azRYSVRmSVpWYW5USHRFc3hKRHBKTmcrUlh5TC83ejc5eHZuYVpIUnpZTVUyMS9JeG9QSlNWR2IzU2NKLzdFcHFrQ0FDc3NoR0xrc3NXdGdFSzhvc2RqZU95RkJEaDRSS2duNnh4NTUyRWNCc3loVFlNVUJwOGViUFNMQjRDNktDL0VHczIyNGt5T2wyNEVJWUpwcmdsUC9DS0hnSmVOVkQyY05aallSREZPTWIyakJIdkpsUnNoZmtWeFRRaTJTM0lSMUJLODFuZDhvcWxCekplWmphTlZNVUdiSHBQQXdzd0VHMkczeWlqRkRHa3FZOUVjVm1PL0NmbXVpTm9Oc0tHcXZxbnNGVTk3SXg4VUw4MXRpdEJUNC93V2RvVTlUWG5PNkRrTU1SUUFYOGpkNVBQd0xKRURaS1d0cTc0Vm96ZmhHYzhNeC9aSTMzcy9YTWg1QTlvNklNMWRQdERKQmI3ZEtkbmM5NE8yTjFVck81VDhxRzVrT1E9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/464215176.webp?k=67e4093674f454eb7fabc19bc728c99a477ce2112839dc374d71b382153a3bc0&o=,N/A,N/A
La Quinta by Wyndham Austin at The Domain,$80,2024-07-03,2024-07-04,"7.6Scored 7.6 Good 1,201 reviews",N/A,Austin,,N/A,N/A,9.8 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/la-quinta-inn-and-suites-austin-mopac-north.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=44110001_243821212_4_1_0&highlighted_blocks=44110001_243821212_4_1_0&matching_block_id=44110001_243821212_4_1_0&sr_pri_blocks=44110001_243821212_4_1_0__8010&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/194573807.webp?k=de012353805e44debe06540c62a40fd7c86c305c496534d46bc606b31b48f134&o=,N/A,N/A
Hyatt House Austin/Downtown,$121,2024-07-03,2024-07-04,"8.1Scored 8.1 Very Good 3,120 reviews",N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/hyatt-house-austin-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=209824016_269951211_2_1_0&highlighted_blocks=209824016_269951211_2_1_0&matching_block_id=209824016_269951211_2_1_0&sr_pri_blocks=209824016_269951211_2_1_0__12069&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/535390678.webp?k=f1368db5e8218a2da40957c4e1563576a6adeaf8b86f4ab0cb2e41112e17d02f&o=,N/A,N/A
Fairmont Austin,$154,2024-07-03,2024-07-04,"8.8Scored 8.8 Excellent 1,395 reviews",N/A,"Downtown Austin, Austin",,N/A,N/A,in city center,N/A,N/A,https://www.booking.com/hotel/us/fairmont-austin.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=224220934_392916917_2_2_0&highlighted_blocks=224220934_392916917_2_2_0&matching_block_id=224220934_392916917_2_2_0&sr_pri_blocks=224220934_392916917_2_2_0__15400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/514407389.webp?k=e5f1fad5629ad37365382737e516be8e3dce8a16613f5a3c93ed78c0e7ad85d4&o=,N/A,N/A
Hampton by Hilton Austin South - I-35 & Ben White,$109,2024-07-03,2024-07-04,7.9Scored 7.9 Good 100 reviews,N/A,Austin,,N/A,N/A,3.6 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/hampton-inn-austin-south-i-35-ben-white.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=4190811_266269663_4_1_0&highlighted_blocks=4190811_266269663_4_1_0&matching_block_id=4190811_266269663_4_1_0&sr_pri_blocks=4190811_266269663_4_1_0__10900&nad_id=c99b32d2-d4f4-455d-969c-7c92d941ac39_0&nad_cpc=2.45&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Im5VS1RBNlA1ZXZBLzdCUkt3R0NBN3dTb2lyajExWG5yRmdvTGxodHpFZFNuNys5bUYwM0NKWk5CK2lLUFN2T0tLUFFGbzRxK1ViQ3dZMTl3YVJURmIxQkQzKzA3WG52Y09JV1RreUZDRmcxT2IwUlh3b1JQZzdqNVV5NVkwSWxrRStPTUZnS1dKeXRGOVlMaVE2bmlGZUl5SGNCWFduMTBNN0psN1N1TnZsQjZLNnJEN2dneFhpc0JqT2R4bnRJUHhiWTM3SEtJdGRoYVI2QzZxSFpET290MndzcFptNHp4bHFxSDFCRTNQTk1FbXRyTGt5RmY5YkVEcXFJeGp3eTdYMERqa0tMM2tDV3BYM3ZqWlYzcEVxN1cxZ05UdjB4Ny9yVWRFa256VXlldy8xcm9EWDRXOHNHeDRlK2pWL3JySUFIRUgrMHhzeG9WVFBtNmRDbzJlbXpIdHkvQVJtckgzSTVqOWxxSzZsMzY3MUV0cnVQVnVsR3RQaVAyU0R4bTBIblRtcWg2VGVDS3daQUFlNWQ0RC9QcUxzYmdrYy8wY2lmTG1qS2JQRlNSeGxlVjhFUVhubWJQTjlRa1dsTElnTmY0cmdkMEU4Sm1JRjZ2cWVEaFQyK0ZLUUpSM3ZXUy9Fak14cVNpY3hFbzBFZ0dwZHBWcFZJSFdpaVJuemhFbnNKMEhsVi9pQWFqdXJNbUdNTGh3bmZWMVhJSS9hM0NXdjhIS3g2NHEyM1lZVWRFUVBkN2dMR3I5YmhNVGFQS2pTdWZoL2htUTdUN0dya1VFcUdPZDJYZE5sdG56U2hFWjV2b3hBZkI1d3BCbmpFV096cVJUTVhtTCtYeFF2Wm1qRXliSU1XMHk2UnJ5TGY4OWIyMzVUaGl5ZHdRS0lWR3JGUk9hVWtlNzNqdUJpV0Z3bDgrcThUSzJLOVNuK2VwVEJ0WGdJMmZZZmNxL3NCSkZuaVBYNk9GL1AwZWVUSTc0ZExPTjhUUUhUY1pENk4zSHdsL1pwSXJmZkdJcVA1MHR4MzJyYldlVVBrZ0pHU2lZNEhEYlVxamozTncyMEVJazJOZXpVVFk5YmVjcGdoUU9BY2YxNkJibXJIZXJ6QVVBclBvMitwU042VHpPQ3hSR1ZsdGNhUzFmb2dZaHpkY1oyNTJsRVVHSjR5TGtGbStCdGtMYWJzRGxmdGdOZDRWQW9DamhwL1JJYWYvdnkyTU02a0FzNVpvWVdvRHhmSG02NlZYMUltUnlGcDk4RTNEK3A2R2gxeUsreEpOcWkvWG5KOGlmOW94M2UwRHZBbVgwdnVOTFpVeDFidG5sZ245Z21wVStpZlBxZWU3UmRySjRoWWpKRGdjcVZnQ3QyYnZHaU93Qk5iSVIwR1JkZWsyY3JHck5aelZUNFp1cjVFeGpxWDhJa2tQZkxQeGtmN2o1OTUwSTU0clpYcnpjTldaQWxuakF3ZXJpL0NOY0xFMVhLdGhnRytWTGxtTHNyb3pnME15VTRseVdaUCtBMkt6eTBKeU15UDRHTlhXcFZlSDNwSjM4ZUVGVEFpUnBVeDFVUzhkRktTR1luRTJTQ2ZDb0R2blpmWGFFL0VxR2JKUlltL3JkdDdSRFNjNlMwR0R3bXZzUDZkbERJSXc0V2NiMW4vc000cU41Zkh3WWFQN2pyWWlWL2VLdzJPSlZQbGhqVGdoanRWeXQzNmxmTGdjaWV0N1ZnY3BwNVpnYjdJQ2xxRFIyZVdDY3pGRktta2xmNk16RlVOTnJWRTBEV3ZlTDFwRmhlQlEra1R0OUxVcjJ6bTIrT2ZsS3lQeXV4dGFmY1Z0RFBFVzVQb3lFaFkwd1AvWmNkcm9OSWxxZVpWVHVpMXd5LzRrM2c0ZndFWW1jY0RpV2I3Z0Voc0k4QXFEaG1HY2RxaUhtUllyV1VTOURTVy9Ba0xWOFdYTkhWT1dpUmgxUjBra3BYZFZPVFdYNkZYV1RITnk0M2ZGcGFmdEZ0WVcvTkNhRGpMSlN5bzR6U3NyeEZFWnlFTmhtSFhPWURlS3JvWm9uM2NoaGFMMHN6UVB1V1Ftclc0dzlWMFBnZVhDbEt1ZC9iYWRpTW04VVF3eFBzenU0YitWVUpFY2QvcnVISGh1b2RXQSs0R28xcHdRTWVpeVpjNG1Sd3hqOGFha1pId2pXQ3ZoVTFjSjMxYkJrYVkwa0t1N3BHeUVVUTAxY0QyYlZ4NnpJeHBreUxnZHhkenRJWktkT1pNb0cyUGoyQUdPcU9OUlVna0JKWTVQc2tVZ3l1TXE5b25FQmxWc3hyMllCQk0ycGpzazdiWXRqYWpGQmpxVHJERmFJNlFZY29FZ2w5aGVHMW44M2g3WGpqcWtCYUJ1ZVc2TVpLcmJ6TlBjVDFnRDQzMHcxU0M2cTBodnRwcEdHdm5TN09LZmJzQjZQMDVFWVQyT0piZkxscXovcC96aVU2VHdDcUF1dkxZaHBBNUIwUGxMVExleUYzS3JiUGJaOWVtSlc5SlZCRXdycXBGY2ErRVhldWtYbFMyVkx2TFd5elRnMjJQb3gzRE9rMVBBN1EyNWV5YlU5M2RUaE92NHZuVXQyMmErc2UrOFRjUDN2bHJoUVZLOVhzU21NL1l3Y3NweEZrdzZBYjNCZUZFeEpuUDgrMG9iSnQ2eXZUcDVubEhhK0o4UjNNdVRKUndIVFZpSDFWZk9UUno5cTJuaHliaEM4cEI3YTdOdnE4bUU0R05EQXdPNTdySkxzQWE2SXM5TkUwMG5qWGZmb3hoWjFqLzZXOXdoNUpaSktUdlNPeWpTNkZBa3RKaC9WWWphTzRCYmlEZnBBZEJIRTlrVGtmSkZoL3pzeTZ4N3EzQ09CMXVSZlFLMzVjd21ZTVNNQ0xIdWM2enlFWWZwUUJLNHR4T2N6cHNQcHcwMjhiZ1VqdjZDRWpibC9VRC9uL1UvN1pTRFlTb2xyeWNMUndaNmJvL0dHaDAwNUphNVd5TTJrdE1uSjErMEI0RVByWVFwQkx2VURRbERKaDY5ZHVCelJ4VFpGOHJOeDAvOE1FY3YwZk1SMGk4MDFSYk9hRkFZcWt2TDRNbnhEVFpKZlNDQmI4TXBZaWdZRVIwaVV6MkF5aWlxSERPYXBxQkVJd0NjNmpXbDZpVjlOc3VPcU1Tb24xdHZ1NTVxUXZKa3BEMUdXZG01RlpVVzdIV3BkZXZpUGNWR08yUVlQTTNQeUtGSENKMlh0Njc0Vm96ZmhHYzhNeC9aSTMzcy9YTWg1QTlvNklNMWRQdERKQmI3ZEVobUtUVXBpRWdlS2dRSVNjd21iR2c9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/473282559.webp?k=3a5222a4593d92ec443b38d2a5e4baca3faa6755be788e125d610b2c7f65398f&o=,N/A,N/A
Ramada by Wyndham Austin South,$89,2024-07-03,2024-07-04,7.6Scored 7.6 Good 771 reviews,N/A,Austin,,N/A,N/A,3.9 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/ramada-austin-south.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=7591018_285546693_4_42_0&highlighted_blocks=7591018_285546693_4_42_0&matching_block_id=7591018_285546693_4_42_0&sr_pri_blocks=7591018_285546693_4_42_0__8910&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/135119719.webp?k=bf46db2ea94f13f25726f86b05dc807ee2cb0b0c12b8fd0b90f703856a8c813b&o=,N/A,N/A
Fairfield Inn & Suites by Marriott Austin Parmer Tech Ridge,$89,2024-07-03,2024-07-04,7.9Scored 7.9 Good 446 reviews,N/A,Austin,,N/A,N/A,10.5 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/fairfield-inn-austin1.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=26565201_246427103_0_1_0&highlighted_blocks=26565201_246427103_0_1_0&matching_block_id=26565201_246427103_0_1_0&sr_pri_blocks=26565201_246427103_0_1_0__8900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/442731515.webp?k=b75231893107ab89dfdb0ddb6387e49f24237225c447b5d0191b0c90f1ee33fe&o=,N/A,N/A
TownePlace Suites by Marriott Austin Parmer/Tech Ridge,$99,2024-07-03,2024-07-04,8.3Scored 8.3 Very Good 154 reviews,N/A,Austin,,N/A,N/A,10.2 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/towneplace-suites-by-marriott-austin-north-tech-ridge.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=202292602_246434191_0_1_0&highlighted_blocks=202292602_246434191_0_1_0&matching_block_id=202292602_246434191_0_1_0&sr_pri_blocks=202292602_246434191_0_1_0__9900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/448660123.webp?k=daf94ed59387cc18205b60706d442fcc1dc2ad6d5c15c0650eff91478861e5a5&o=,N/A,N/A
La Quinta by Wyndham Austin Airport,$89,2024-07-03,2024-07-04,7.4Scored 7.4 Good 727 reviews,N/A,Austin,,N/A,N/A,4.6 miles from downtown,N/A,N/A,https://www.booking.com/hotel/us/la-quinta-austin-airport.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hdXN0aW5IM1gEaLACiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuALP2pK0BsACAdICJGRiNmFjNGFjLWY1MzctNDJhZC05OTRhLWY5YWNkMTlkZmI1ZtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d7cc0c67b41e046f&srepoch=1719971156&all_sr_blocks=42860201_246035839_4_1_0&highlighted_blocks=42860201_246035839_4_1_0&matching_block_id=42860201_246035839_4_1_0&sr_pri_blocks=42860201_246035839_4_1_0__8910&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/194512752.webp?k=3a5baa9957005cb86155e19452dd5ff6f59f4b14e297529062e6f3e4aa30a01e&o=,N/A,N/A
