Name,Price,CheckIn,CheckOut,Rating,NumReviews,Address,Amenities,RoomType,Cancellation,Distance,PropertyType,StarRating,BookingURL,Photos,GuestScoreBreak,Description
Hilton Houston Plaza/Medical Center,$104,2024-07-03,2024-07-04,7.9Scored 7.9 Good 957 reviews,N/A,"Medical Center, Houston",,N/A,N/A,4.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/hilton-houston-plaza-medical-center.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=4370019_350830449_2_2_0&highlighted_blocks=4370019_350830449_2_2_0&matching_block_id=4370019_350830449_2_2_0&sr_pri_blocks=4370019_350830449_2_2_0__10400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/484324823.webp?k=54aa90dc3c5043f8baa3d8e55200e06895ee93b739e91b191703aa81ea738ea0&o=,N/A,N/A
Hyatt Regency Houston,$143,2024-07-03,2024-07-04,"8.7Scored 8.7 Excellent 1,307 reviews",N/A,"Downtown Houston, Houston",,N/A,N/A,in city center,N/A,,https://www.booking.com/hotel/us/hyatt-regency.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=53718910_246037248_2_2_0&highlighted_blocks=53718910_246037248_2_2_0&matching_block_id=53718910_246037248_2_2_0&sr_pri_blocks=53718910_246037248_2_2_0__14310&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/504400103.webp?k=375a8e698dec8162d9b61c31e01a5b2e1f1c4ac6774f3ae03b87d1d0b08490f9&o=,N/A,N/A
Hyatt Regency Houston West,$101,2024-07-03,2024-07-04,8.1Scored 8.1 Very Good 789 reviews,N/A,"Energy Corridor, Houston",,N/A,N/A,15.5 miles from downtown,N/A,,https://www.booking.com/hotel/us/houston-westside.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=71792118_334902817_2_0_0&highlighted_blocks=71792118_334902817_2_0_0&matching_block_id=71792118_334902817_2_0_0&sr_pri_blocks=71792118_334902817_2_0_0__10115&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/454343196.webp?k=97f4de7821a0edeaacdb00cd6f2bb20fa26ebacd3847d821b972321478ac8ae2&o=,N/A,N/A
Hampton Inn and Suites Houston Central,$119,2024-07-03,2024-07-04,8.7Scored 8.7 Excellent 393 reviews,N/A,Houston,,N/A,N/A,4.2 miles from downtown,N/A,,https://www.booking.com/hotel/us/comfort-inn-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=5767601_266277619_3_1_0&highlighted_blocks=5767601_266277619_3_1_0&matching_block_id=5767601_266277619_3_1_0&sr_pri_blocks=5767601_266277619_3_1_0__11900&nad_id=7ece203b-f81b-4720-aff8-256ccc47edda_0&nad_cpc=1.21&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjIzQUVsUDRIVUZObUx1cTNOc0xZaVhDRDRPM2prN1NTYlNkYzRDa2UwdVZnT1QzMDVES1p1SUdzV2VjZWttM2NScEFmMDVnWEt4TjRxdUpMZFpHZjg0d29JaG9WVWhYMGI0by91TzlEZVZtdUtyUStZMEV3YjliQ3VrZ3VjNXErMm5qWFNLSTJaK0drL2p6aVJHM3Btc0ZockNScGZrTHBCbWZWdmd5TXhvQ2RRclE4Y0E5TmFma3ZGeUp3RFo0RFFYaytPWkFkODFhNWdCV0FTdlZNNG5EMGNIbzMyMWlOeE85c0t3QUhVam1kamhBSVpQUll0MTlERTFtdmVSVWlHSjFXakdla2tzKytDQlQ5cDd6cUFHWFpUbGQ5bkUyQ2w5Qk05QkxoWC82dW9VT2l3RTdkSzR1dWZTak5PbGREWXVKbWZmd05LNWlzZ1p4dm5hS3JUSDlLUGR6cDdiaDg4eXFvOGZ3QzU3Z0dZSVErRTZNRDFobnV4ekxjQitFbnNsOXUvZllXdzF3YXlyT1JkL0pUeUo5cTRkci92SzBFQ3dFZXNRNGJTSmZ2TEtjOWh3cmxDL2IybWZwTWRSYnR6amk3RCtDRXdVOGl3TnNrT3h2SFNDNEY1NWh0OTVOdXVONERQYTJQdDFkckx1NTQ4NThwTjU4emxZN3c5SHRaOVU5Q0RHbUVJOE1sdVJJZ3lCMmJVTVBlS0VNbTA1NWdVM2t6WWlrMWN5YjZFbHppdHNjMG1NQWRjcXl2ZklJTm9wRUszWkVzSkFCRHdabnhWRjV4MzZoRjNIalFWMXVXTmV0SGFWMWpYQ09acVNLUm14Ymd2S09rendCVEtxUTJOS2F4eDhwSXlNWC9KSWtTUUhsa1ZqNFNoVlRXZFNtSlArY3ZFcmZiaTA1YmV1ell5ekZGL091aG96QWNkeURqbmVCUjhjVHNFMG53LzUwR0VlVlE5OFdzQzhPUXV4N1I4YXo2eTZML3ZvUXJhSGVrM1NZY3R1VDI3QkhlbzU0b1FXYk55YmdRd0dJelhQa2VpUjhDcDZ3dzVpQlR0UFBOU1hGL2ovNE13ZENlRk9XZ2JFTVRSVVN3SW0wSUVBMXdMdjFGZHJzdnhNSy9jU2JjNXRsUEJQV1BvL1c1YjFlSHFBUXhKYVRRTVdRVWJYOHg3U05JaktkY1dpUHU2dTdyK3lNWXZwRU1Hd3FEazc3R0cxT3ZDZFhOa1hNTmx4K1pLSzFFbHJZTUVaeW1YRzhvMFJKK0FKaHFiU0ppQ1l6YTFVSWFLZEt2Q2JRdGJwODlRbG5ROWFKZjgxMUloVjY0TEFjMFBVMlNpam1UMk1rV2Y2UEo0MlZSZldhQnFMYXh0UVlncXovSTNPeEh3QmZtU21YOFFvczBaakhvb3JTZWkvamYzZ2hMWVFVR2JyUjArZUdzK1p5dTNla3BYT2xTUlNpczVkY0tnNEI3cGhMOVMrMXhOOXBkdU5UaTAzT2Q3MDI5dVYraU5idzFOU083ZWdqVUhWVXRseEszQnVUY3VRUWZKSzdCZFpFSUdVL05LQXdNb2tRcTMvKzZhUHlCT3dOQ2lsVEVCOVAxYXNONGlvclM1NDB1bHBHdVNBZElUMmdWQzJidTVIeWR2V2Y0dmtTSStkd05HKzBIRkxqcW92SzIzVFdWSmJiblJtbDM3dndlc2lzcGRyQ3Z4VEJwb3BOZDRiZ2kxN0lhNU9YQTR4ak96VUQwRGVtbkRQczVWWVVlejlGNCsvc3BybDB4cjlMdDJkWUJwemdkdDQzMjVGcmtTYlpmNFFmOW92S0d4K1F3MWY2T3dTTmxPb1hOTlUzRm1MdWc5VjY1cDMyMGdYdFNMV3RaWjNRcGFtZ2lwcStTZXRoV1BJQXFXZGZkNEt0YTRiVnFBb3AwbUxjcnVzM1hXREYwN1JlZDUrbzVMZHVNenhjNmZ2V1gzUTMrMm5jM2wrSkx0eWVWdVByWjVTRzdRZ3NsY2YyVGdobVRqZE9xRUJjUTVRSXBOS2I0UFVoMkMzRWtDT2dvVURjS2NVWmc5Q2QzakhGNkltRHJwV3kxTWZDUXBDcTlua0ZhZ3pBTHE2K3FOMFQxMXQzRG9MWlBaWHFMeTZJTzl1NVMyeWkyYkx2R0tpVkFtSCtUb2k3TS9uY05EYlhPVnFqOG5Cd091aTI5VGNSMHRPT0V1eWNBVkpOTEd4akU0UE00S0N5ZktJc3JoQjA3TUFWaFdhWTh5c254VkZzbmZweHJXdUxGeGtJVEE2bFo1RG9Fd0Vqc3BaUmM0K0pvcEljN0pEd21sWHNOR1dzRTVUTmlvYTF6YkRCejIvdEpRZjVPYStxdEtVSnpMRURZZWFNSmV3ZytMeEdvSGJXNEtuNFdtN0FMUWE0MUpnb3lodUdMaU5jeGE2aUVZa0FMUWp2S3Fqam12TUNHY0ZxUFlJZTlZRzlsV2QySldQc2o5YWRaL2VkQWhldjhtYmZmV0ZqQ0QrWTEwaS90UTBJR3VJYnlXZTZpMUlNQkx4UnJsSVlOckdMQW9URGgyRno2T3RSK3ltUjJtOW8zMFVldlpad2h6Z1pUOUljcVNyY21YczhMZXhnRFN5UkVhTFRNV0hpYVlFVFRYNXU2ZVVsVHFEMXorVXlYT0dFRU1kczNVVytnVDVNL2IvSFNXRVBaUklhUUdVLy9CS0tYbGpJUkVWZ2RCZnFaM2ZLaU5WOTYxa3B5QWNRR3NnaVpWbTlzNzNSWjZKZk1FT2hScS9yMEJkQ0duNmVwY3lGeFJOWVFJY2xUa0Uzb05id0YrUjIrTnJLZWlRR3krV05hb01EeVZBdjExM25TZnR4TXB0ZERRYzdsdkdtNVBhM1F3TU5GWVlXNk5uS2hRcmVKdXJpaUQ1ZUQwTVJlcmZCQW5TSjl1V3Z2NURDamw5K1Blanh0VWJhSldwbjFpZ2NKQitVN2xtdFVxUnA4NnM0VUt6b3ZEdk1Wa1lsL2tOZm5JdkxMV0lqTW02UTJPSlJBejNvVGdTWUlqcEwwNEF2a0NPYUZjeEpLdG43bUE2aVlNRW5Rb2xhRmZsTjFWNjU0UmlmTGIxKzJPaVVRdVQ5bU81STM0WWR6U2ZReXNSTXBma25vQ3BYVWNteU9lTkR1Lzg4VEZHVDV3YWZvb0Z4TGdOdDN3TEhoQWlFaEtHY2Vqanh6dzZEdFF3OTlZbkxYOU5GdkdaMWNEOE9mV29vQTlyaElGKzJZcXpyT2VWaXlRdWJpck5WTENFSnptamdRajg3clpvQWx0c3hLQ2t5bVMwaHl2SWs9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/493488847.webp?k=67c8b2394771ecae18ab1874025186cdbfeff434000ab0b88f9f0191bc2806c5&o=,N/A,N/A
Palace Inn Blue Houston East Beltway 8,$81,2024-07-03,2024-07-04,8.8Scored 8.8 Excellent 411 reviews,N/A,Houston,,N/A,N/A,12.5 miles from downtown,N/A,,https://www.booking.com/hotel/us/palace-inn-blue.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=717232801_390417822_0_1_0&highlighted_blocks=717232801_390417822_0_1_0&matching_block_id=717232801_390417822_0_1_0&sr_pri_blocks=717232801_390417822_0_1_0__8100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/295018144.webp?k=1ccc2f458b8b284cb10696953b614761f40ae66f866fb80764835d7676ba0000&o=,N/A,N/A
"Holiday Inn Express & Suites - Houston IAH - Beltway 8, an IHG Hotel",$99,2024-07-03,2024-07-04,"7.9Scored 7.9 Good 1,172 reviews",N/A,Houston,,N/A,N/A,12.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/holiday-inn-express-suites-houston-iah-beltway-8.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=435277908_246053918_2_1_0&highlighted_blocks=435277908_246053918_2_1_0&matching_block_id=435277908_246053918_2_1_0&sr_pri_blocks=435277908_246053918_2_1_0__9900&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/386348956.webp?k=3ca3dfd1939d6b6f2696d61362cf1ba78057357c74a26ec219285a00223aad65&o=,N/A,N/A
AC Hotel by Marriott Houston Downtown,$123,2024-07-03,2024-07-04,8.5Scored 8.5 Very Good 604 reviews,N/A,"Downtown Houston, Houston",,N/A,N/A,in city center,N/A,,https://www.booking.com/hotel/us/ac-by-marriott-houston-downtown.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=497558205_365327528_0_2_0&highlighted_blocks=497558205_365327528_0_2_0&matching_block_id=497558205_365327528_0_2_0&sr_pri_blocks=497558205_365327528_0_2_0__12300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/491475996.webp?k=44c3b2c1f88737cc0cb6e9b60d12f4e752756ad00b5ba8636ba15802dbea2e95&o=,N/A,N/A
Hilton Garden Inn Houston/Galleria Area,$119,2024-07-03,2024-07-04,"8.4Scored 8.4 Very Good 1,889 reviews",N/A,"Galleria - Uptown, Houston",,N/A,N/A,6.5 miles from downtown,N/A,,https://www.booking.com/hotel/us/hilton-garden-inn-houston-galleria-area.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=4285904_266271716_2_1_0&highlighted_blocks=4285904_266271716_2_1_0&matching_block_id=4285904_266271716_2_1_0&sr_pri_blocks=4285904_266271716_2_1_0__11900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/490812805.webp?k=20790076f498520d896e1463db7575461ae23abcc9174c8d1b7042e2717d7a1e&o=,N/A,N/A
SpringHill Suites by Marriott Houston I-45 North,$89,2024-07-03,2024-07-04,8.3Scored 8.3 Very Good 173 reviews,N/A,Houston,,N/A,N/A,16.3 miles from downtown,N/A,,https://www.booking.com/hotel/us/springhill-suites-by-marriott-houston-i-45-north.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=100092703_274564342_0_1_0&highlighted_blocks=100092703_274564342_0_1_0&matching_block_id=100092703_274564342_0_1_0&sr_pri_blocks=100092703_274564342_0_1_0__8900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/453264899.webp?k=367f1fd5898fdcdcd8219bfd1a6991cbeee957a94ee499c522971b22293b629a&o=,N/A,N/A
La Quinta by Wyndham Houston NW Brookhollow,$80,2024-07-03,2024-07-04,7.0Scored 7.0 Good 967 reviews,N/A,"Northwest Houston, Houston",,N/A,N/A,7.4 miles from downtown,N/A,,https://www.booking.com/hotel/us/la-quinta-houston-northwest.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9ob3VzdG9uSDNYBGiwAogBAZgBMbgBGcgBDNgBAegBAfgBA4gCAagCA7gCqN2StAbAAgHSAiQ5ODUyNjJhYS02MDdjLTRmMDMtYTcwNy0zODU1ODYyZjU3MDfYAgXgAgE&ucfs=1&arphpl=1&checkin=2024-07-03&checkout=2024-07-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c77d0d14af290343&srepoch=1719971501&all_sr_blocks=46065002_246074871_3_1_0&highlighted_blocks=46065002_246074871_3_1_0&matching_block_id=46065002_246074871_3_1_0&sr_pri_blocks=46065002_246074871_3_1_0__8010&from=searchresults#hotelTmpl,https://cf.bstatic.com/xdata/images/hotel/square240/380643624.webp?k=ff301b177cb39cd3d4a7a497d3c058c19cc38542208d0231d6eac4c039a1ad2d&o=,N/A,N/A
